Touroku No,name,zip,adr,tel,tel2,fax,open,teikyuu,location,holiday,saigai,zaitaku1,zaitaku2,hinin_tyouzai,hinin_hanbai,pharmacist,member,area
105,ヤマグチ薬局 西鶴間店,2420005,大和市西鶴間3-6-1-2F,046-200-5121,070-3606-3590,046-200-5122,月～金 9：00～18：00 土 9：00～17：00,日・祝,"35.48700169917574, 139.45188957756895",,,,,1,1,初鹿野敬太,会員,鶴間
106,川上薬局ツルマ,2420005,大和市西鶴間1-11-13,046-272-9890,,,月～水・金 9：00～12：00・15：00～1800 土 9：00～12；00,木・日・祝,"35.49142186896443, 139.4493459770179",,,,,,,,,鶴間
107,オダギリ薬局,2420017,大和市大和東1-4-2,046-261-1193,,046-263-9393,月～土 9：00～20：00 日・祝 10：00～13：00 15：00～19：00,なし,"35.470565589341646, 139.46248901564815",,,,,,,,,大和駅周辺
108,大和中央薬局,2420021,大和市中央7-14-5,046-200-9706,,,月・火・木～土9：00～12：30 14：00～17：30,水・日・祝,"35.46257325145997, 139.46412720160345",,,,,,,,,大和駅周辺
109,ヤマグチ薬局 大和店,2420018,大和市深見西3-1-17-1,046-200-3031,,046-200-3032,月～金 8：30～17：00 土 8：30～15：00,日・祝,"35.47903035102145, 139.45937899180853",,,,,,,,,大和駅周辺
110,すずらん薬局 大和店,2420021,大和市中央5-4-25メディカルプラザ102,046-200-8651,,046-200-8671,月～金 9：00～18：00 土 9：00～17：00,日・祝,"35.46856474169355, 139.45907091694588",,,,,,,,,大和駅周辺
111,大和あおぞら薬局,2420017,大和市大和東1-8-10-2,046-261-8084,,046-261-8074,月～水・金 9：00～19：00 木 10：00～18：00 土 9：00～17：00,日・祝,"35.47016259017361, 139.46380770215495",,,,,,,,,大和駅周辺
112,相模漢方薬局,2420028,大和市桜森3-7-1,046-263-0030,,,月～日 10：00～19：00,なし,"35.471997471677035, 139.44228642876112",,,,,,,,,相模大塚
113,大和桜ヶ丘薬局,2420024,大和市福田1-10-1,046-269-9622,046-269-9622,046-269-9499,月～金 9：00～18：30 土 9：00～17：00,日・祝,"35.4518027087771, 139.46525686482093",1,,1,,1,,,会員,桜ヶ丘
114,オダギリ桜ヶ丘店,2420024,大和市福田1-8-1,046-269-1593,,,月～土 10：00～20；00,日,"35.45109928968378, 139.46527554818064",,,,,,,,,桜ヶ丘
115,すみれ薬局,2420024,大和市福田5516-1,046-269-3661,,046-269-3661,月～土 9：00～18：30,日,"35.450783448724586, 139.47013027325616",,,,,,,,,桜ヶ丘
116,キラリ薬局 高座渋谷店,2420023,大和市渋谷5-25-3エクレール渋谷,046-267-3310,,046-205-5916,月・火・木・金 8：30～18：30 水 9：00～17：00 土 8：30～16：30,日・祝,"35.433192366477314, 139.46372691749565",,,,,,,,,高座渋谷
117,ノバ薬局,2420015,大和市下和田1307-1,046-269-9790,,046-269-9708,月～金 9：00～18：30 土 9：00～17：30,日・祝,"35.43376790484846, 139.46954115742457",,,,,,,,,高座渋谷
118,イオン薬局 大和店,2420015,大和市渋谷6-6-1,046-269-6310,,046-269-6319,月～日 9：00～20：00,なし,"35.43498035397188, 139.46670009845582",1,1,1,,,1,小玉裕和,会員,高座渋谷
119,綾瀬休日調剤薬局,2521107,綾瀬市深谷中4-7-10,0467-76-5388,,0467-76-5388,日・祝・年末年始 9：00～12：00 13：30～17：00 19：00～22：00,月・火・水・木・金・土,"35.43890909001931, 139.43415408256246",,,,,,,,,綾瀬市
120,光陽堂,2521116,綾瀬市落合北5-2-10,0467-78-2727,,,月～日 10：00～20：00,なし,"35.424089700896054, 139.44146021250435",,,,,,,,,綾瀬市
121,天仁堂薬局,2521104,綾瀬市大上3-14-2,0467-81-4982,,0467-81-4985,月・水・金 8：00～12：30 15：00～18：30 火 15：00～18：30 土 8：00～12：30,木・日・祝,"35.464001456672186, 139.4235604635237",,,,,,,,,綾瀬市
122,薬局マツモトキヨシ　大和鶴間店,2420001,大和市下鶴間2780-1,046-278-1378,,046-278-1378,月〜金9:30〜13:00/14:30〜18:30 土9:30〜13:30,日・祝,"35.49190,139.45527",1,1,,,,,眞田　翔士,非会員,鶴間
125,アイン薬局大和店,2420015,大和市下和田1324-6,046-244-6745,046-244-6745,046-244-6746,月～金 9:00～18:00　土・祝 9:00～17:00　,日,"35.43267861996269, 139.46888774305535",1,1,,,1,1,奥野　望有,会員,高座渋谷
126,新成堂ヤマト薬局,2420004,大和市鶴間2-1-24-1Ｆ,046-205-8610,,046-205-8620,月・水・金8：45～19：00、火8：45～18：00、木8：45～17：00、土8：45～13：00、日9：00～18：00,祝,,1,1,1,,1,,竹内　由美,会員,鶴間
127,ローソンクオール薬局中央林間二丁目店,2420007,大和市中央林間2-1-12,046-206-7028,,046-206-7029,月～土 9:00～19:00,日・祝,"35.502433242294074, 139.4449786453466",1,,,,1,,土屋　真優,非会員,つきみ野・中央林間
